web-scraper-order,web-scraper-start-url,get_more_details,get_more_details-href,pages,name,dates,updated,address,city,state,zip,image-src,fulladdress,attendance,exibitors,promotor,showrating
"1674870847-1","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/88976/Yachats-Oregon/Craft-Shows/Yachats-Crafts-Fair","https://festivalnet.com/fairs-festivals/Oregon?page=15","Yachats Crafts Fair","January 2024","Updated 11/30/2022","Yachats Commons","Yachats","OR","97498","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ArtsCraftsShow%2Fcraft7.jpg","441 Hwy 101 N, Yachats, OR 97498","8‑10
					
Juried: yes
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: until full","Oregon Beach Gems","null"
"1674870849-2","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/22138/Lincoln-City-Oregon/Art-Shows/Artistry-in-Wood","https://festivalnet.com/fairs-festivals/Oregon?page=15","Artistry in Wood","January 2024","Updated 12/7/2021","Chinook Winds and Convention Center","Lincoln City","OR","97367","/festival-community/image.php?mode=fno_event_image&band_id=22138&fno_event_id=22138&width=480&height=crop&theme=Sage","1777 Northwest 44th Street, Lincoln City, OR 97367","1,500
					
# Food Booths: na","60
					
Juried: no
					
Prize Money: na","Coastal Carvers","null"
"1674870851-3","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/44755/Salem-Oregon/Home-and-Garden-Shows/Mid-Valley-Home-Show","https://festivalnet.com/fairs-festivals/Oregon?page=15","Mid Valley Home Show","January 2024","Updated 11/22/2022","Oregon State Fairgrounds","Salem","OR","97303","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=HomeGarden%2Fdefault7.jpg","2330 17th Street Northeast, Salem, OR 97303","150
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","Home Builders Association of Marion & Polk Counties","null"
"1674870854-4","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/13883/Portland-Oregon/Boat-Auto-Camping-Shows/Portland-Boat-Show","https://festivalnet.com/fairs-festivals/Oregon?page=15","Portland Boat Show","January 2024","Updated 10/17/2022","Expo Center","Portland","OR","97201","/festival-community/image.php?mode=fno_event_image&band_id=13883&fno_event_id=13883&width=480&height=crop&theme=Sage","2060 N. Marine Drive, Portland, OR 97201","tba
					
Juried: 
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","O'Loughlin Trade Shows","null"
"1674870856-5","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/88523/Salem-Oregon/Lifestyle-Healthy-Living-Events/Salem-Health-Wellness-Expo","https://festivalnet.com/fairs-festivals/Oregon?page=15","Salem Health & Wellness Expo","January 13, 2024","Updated 1/9/2023","Oregon State Fair Expo Center","Salem","OR","97301","/festival-community/image.php?mode=fno_event_image&band_id=494883&fno_event_id=88523&width=480&height=crop&theme=Sage","2330 17th Street NE, Salem, OR 97301","100
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: until full","DAMM Straight Productions, Inc.","null"
"1674870863-6","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/91264/Veneta-Oregon/Art-Shows/The-Emporium-Veneta","https://festivalnet.com/fairs-festivals/Oregon?page=14","The Emporium Veneta","May - December 2023","Updated 5/5/2022","87980 Territorial Hwy Veneta, OR 97487","Veneta","OR","97487","/festival-community/image.php?mode=fno_event_image&band_id=595926&fno_event_id=91264&width=480&height=crop&theme=Sage","87980 Territorial Highway, Veneta, OR 97487","weekend food trucks,  music & mini 1 day vendor events","1,000
					
# Food Booths: 2","The Emporium Veneta (Molnar Llc)","null"
"1674870865-7","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/21728/Eugene-Oregon/Craft-Shows/Saturday-Markets-Holiday-Market","https://festivalnet.com/fairs-festivals/Oregon?page=14","Saturday Market's Holiday Market","November - December 2023","Updated 10/6/2022","Lane Events Center","Eugene","OR","97402","/festival-community/image.php?mode=fno_event_image&band_id=21728&fno_event_id=21728&width=480&height=crop&theme=Sage","796 W. 13th Avenue, Eugene, OR 97402","elf game,  games,  special events","4,500
					
# Food Booths: na","Eugene Saturday Market","null"
"1674870868-8","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/57746/Sherwood-Oregon/Craft-Shows/Red-Sled-Market","https://festivalnet.com/fairs-festivals/Oregon?page=14","Red Sled Market","November - December 2023","Updated 8/9/2022","Next to Hobby Lobby","Sherwood","OR","97140","/festival-community/image.php?mode=fno_event_image&band_id=347315&fno_event_id=57746&width=480&height=crop&theme=Sage","16012 SW Tualatin‑Sherwood Road, Sherwood, OR 97140","12,000
					
# Food Booths: na","85
					
Juried: yes
					
Prize Money: na","Red Sled Market","4.37/5"
"1674870870-9","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/94432/Lake-Oswego-Oregon/Craft-Shows/Rain-Spark-Art-Gallery","https://festivalnet.com/fairs-festivals/Oregon?page=14","Rain Spark Art Gallery","November - December 2023","Updated 11/2/2022","Rain Spark Gallery","Lake Oswego","OR","97034","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ArtsCraftsShow%2Fart8.jpg","180 a Avenue, Lake Oswego, OR 97034","25
					
Juried: yes
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","Rain Spark Art Gallery","null"
"1674870872-10","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/53261/Portland-Oregon/Craft-Shows/Portland-Saturday-Market","https://festivalnet.com/fairs-festivals/Oregon?page=14","Portland Saturday Market","March 4 - December 23, 2023","Updated 1/2/2023","SW Ankey + Naito Parkway","Portland","OR","97204","/festival-community/image.php?mode=fno_event_image&band_id=3788&fno_event_id=53261&width=480&height=crop&theme=Sage","2 Southwest Naito Parkway, Portland, OR 97204","kids' activities,  parades,  demonstrations","165,000
					
# Food Booths: 21","Portland Saturday Market","null"
